Akan tetapi ternyata Mandor Bacan tetap tidak kapok untuk membalas dendam kepada Murtado. Mandor Bacan dan Bek Lihun kemudian mendatangkan tiga pembunuh bayaran dari daerah Kebayoran Lama. ketiga pembunuh bayaran itu bernama Boseh, Kepleng, dan Boneng. Mereka dibayar untuk membunuh Murtado.;1
Malam itu Murtado sedang tidur di rumahnya. Ketiga pembunuh bayaran itu menyelinap masuk ke dalam rumah Murtado. Tetapi Murtado menyadari kedatangan tiga pembunuh bayaran itu. Ia mengatur siasat untuk mengalahkan musuhnya. Ia mematikan lampu sehingga ketiga pembunuh bayaran itu kebingungan untuk menyerang Murtado. Kebingungan itu membuat Kepleng salah mengarahkan goloknya. Ia mengira bahwa orang yang berada di depannya adalah Murtado. Ternyata orang itu adalah Boseh. Dengan keahlian bela dirinya, Murtado dapat mengalahkan Kepleng dan Bonong.;1
Ketika itu, daerah Kemayoran sedang terancam oleh kelakuan segerombol perampok yang dipimpin oleh Warsa. Selain merampok, mereka juga tidak segan untuk membunuh rakyat. Murtado terpanggil untuk menghentikan kekejaman Warsa dan gerombolannya. Ditemani Saomin dan Sarpin, Murtado pun pergi mencari Warsa.;1
Akhirnya Bang Maman meminta bantuan Patme supaya berpura-pura menjadi istri simpanan Salim. Patme setuju atas permintaan Bang Maman. Kemudian Patme datang ke rumah Salim dan berbicara dengan Ijah. Patme mengaku sebagai istri Salim. Patme dan Ijah bertengkar. Ijah merasa kecewa dan marah kepada Salim.;1
Perempuan itu masuk ke bilik kamar. Sekarang sudah senja. Waktunya bekerja. Dia sudah berusaha menguburkan keletihannya di pagi hari tadi. Hanya saja rasa letih itu seakan-akan sudah menjadi bagian dari kehidupannya. Beban yang berat membawanya untuk masuk lebih dalam ke bilik kamar yang hanya ditutupi oleh kain. Bilik itu bagian belakang dari sebuah warung remang-remang di pinggiran kota. Tempat di mana dia sekarang membanting tulang demi hidupnya dan keluarganya di sebuah kampung. Di dalam bilik itu sudah menunggu seorang lelaki yang menyambutnya dengan sebuah pertanyaan.;1
Bertahun silam, seorang mandor penebangan kayu melihatnya sedang mandi di sebuah telaga. Akhirnya terjadilah peristiwa yang merenggut kegadisannya sekaligus menimbulkan tumbuhnya janin di perutnya. Dia tadinya tidak bisa terima. Begitu lahir, bayi itu ditinggalkannya dengan kedua orangtuanya sementara dia lari ke kota. Kini dia sadar harus berbuat sesuatu untuk menghidupi anak yang pernah dikandungnya. Walau bagaimanapun dia adalah darah dagingnya. Dia ibu dari anak itu. Dari tempat paling hina di dunia ini, warung remang-remang tempat dia menjajakan badan, dia selalu diingatkan pada hal itu. Apapun. Apapun harus ia lakukan demi kehidupannya dan anak itu.;1
"Kamu cantik sekali. Marilah dekat ke sini. Suara itu membuyarkan lamunannya. Pada awalnya dia tampak ragu untuk meladeni rayuan lelaki itu. Akan tetapi sebentar tadi, masa lalu yang kelam sudah menyeretnya pada sebuah kesadaran; dia ingin melupakan kepahitan hidupnya. Melupakan deritanya pada sosok lelaki yang menistakan dirinya, pada sosok jabang bayi yang meruak dari celah selangkangannya, pada kesadaran bawa dia adalah perempuan yang sewaktu-waktu mudah dihempas oleh jerat nafsu. Kali ini, dia membulatkan tekad untuk berkuasa sepenuhnya pada daya tubuhnya. Hanya itu yang dia punya. Hanya itu. Maka...";1
Bergairahlah lelakiku. Aku ingin sekali menyempurnakan keinginanmu.;1
Lelaki itu tersenyum lebar. Dia mengulurkan segelas minuman pada perempuan itu yang segera disambut dan dituntaskan dalam satu tegukan. Mereka tenggelam dalam pelukan dan ciuman.;1
Tanggung jawab terhadap keluarga. Contoh: seorang ibu hidup dengan tiga anak. karena suaminya meninggal dia harus bekerja untuk memenuhi kebutuhan hidup anak-anaknya. walaupun harus menjadi pelacur sekalipun. karena demi memberikan kehidupan dan bertanggung jawab atas ketiga anaknya.;1
Seorang perempuan muda datang menghadap. Kabayan mengamati perempuan itu. Wajahnya cantik sekali, tak kalah dengan artis sinetron. Pantas saja kalau ia menjadi istri simpanan pejabat. Kabayan sendiri, kalau jadi pejabat, mungkin berpikir untuk menjadikannya selingkuhan. Ah... Kabayan, otakmu ngeres. Pantas saja tuhan tidak memercayaimu jadi pejabat. Kalau jadi, mungkin kamu tak akan mampu menjalaninya dengan baik. Kamu akan mudah tergoda tiga penyakit pejabat, yaitu harta, tahta, dan wanita.;1
"Sampai saat ini belum sih, tapi lihat tubuh saya! Jawab Tamu Kabayan sambil memperlihatkan tubuhnya yang subur. ""Tubuh saya makin tak seksi. Suatu waktu saya benar-benar tak seksi. Suami saya pasi tak akan suka lagi sama saya. Jadi, tolong bantu saya, kuruskan tubuh ini.""";1
Menit demi menit berlalu dan mataku masih tak bisa terpejam. Aku menyilangkan kakiku kuat-kuat pada guling. Iseng-iseng, aku menggerakkan tubuhku naik turun. Eh, ternyata asyik juga rasanya. Jantungku berdebar, tapi aku senang.;1
Aku menemukan permainan baru yang mengasyikkan. Sesekali, aku memasukkan tanganku ke dalam celana. Aku mengulang. Lagi dan lagi.;1
Kasuari memiliki badan besar dan sayap lebar. Dia mampu terbang tinggi. Namun, Kasuari amat serakah. Dia memetik banyak sekali buah yang telah masak. Buah-buahan itu  disembunyikan di bawah sayap- nya sehingga burung-burung lain tidak kebagian. Burung-burung lain mengetahui keserakahan Kasuari. Oleh karena itu, tidak seekor burung pun mau berteman dengannya. Meski demikian, Kasuari tidak memedulikannya.;0
